NCT Number,Study Title,Study URL,Acronym,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Locations
NCT06728878,Analysis of Lymph Node Metastasis and Tumor Deposit in the Short Gastric Mesentery Following Total Gastrectomy for Gastric Cancer,https://clinicaltrials.gov/study/NCT06728878,zytg001,"This study aims to explore lymph node metastasis in the short gastric mesentery following total gastrectomy with D2 lymphadenectomy plus complete mesogastric excision, providing evidence-based medicine for standardizing lymph node dissection in gastric cancer.",NO,Gastric Cancers,,"Rate of lymph node metastasis and tumor deposit in the short gastric mesentery, through study completion, an average of 1 year",Jichao Qin,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-05-01,2027-12-31,"Department of Gastrointestinal Surgery, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, 310000, China"
NCT01380249,PDM08 Clinical Trial in Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT01380249,,"This phase I study in adult patients with advanced solid tumours is designed to evaluate toxicity, drug exposure (pharmacokinetics) and drug action (pharmacodynamics) of a new molecule, PDM08, administered twice a week cycles of 4 weeks. This drug has shown antitumoral activity in several murine cancer models.",NO,Malignant Solid Tumours,DRUG: PDM08,"Number and grade of adverse events by participant related to PDM08., Drug safety will be measured by the number and grade of adverse events, by participant, related to the drug in study (PDM08) in the cohorts studied: 560 μg, 1.12 mg, 2.24 mg, 3.5 mg and 14 mg, 28 mg and 56 mg administered twice a week for four weeks.

The drug will be administered twice a week for four weeks.

Safety and tolerability will be measured considering the adverse events occurred, by participant, related with the drug in study, PDM08, at each cohort., 6 weeks for each cohort.|Dose limiting toxicity (DLT), Drug tolerability will be assessed by determining the DLT. It will be determined for each cohort (increasing multiple doses of PDM08): 560 μg, 1.12 mg, 2.24 mg, 3.5 mg and 14 mg, 28 mg and 56 mg administered twice a week for four weeks). Dose Limiting Toxicity will be considered the dose that produces adverse events of a severity grade 3 or greater, related to the drug in study (PDM08) in the classification specified in the list of Toxicity Criteria of the National Cancer Institute (CTCAE v04.03)., 6 weeks.",Prodimed S.A.,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2011-06,2012-06,"Hospital Universitario La Paz, Madrid, 28046, Spain"
NCT01843725,Phase 1 Study Testing the Combination of Aflibercept and Capecitabine in Metastatic Digestive and Breast Cancers,https://clinicaltrials.gov/study/NCT01843725,MOMENTUM1,"Prospective non randomized, non-comparative, dose escalation, two arms open phase I trial to assess the safety and tolerability of capecitabine given in combination with aflibercept in patients with measurable or evaluable, chemorefractory digestive tumors or breast tumors in terms of the Maximum Tolerated Dose (MTD) and the Dose-Limiting Toxicities (DLTs), To establish the Recommended Phase II Dose (RP2D) of capecitabine in combination with Aflibercept.",NO,Metastatic Colorectal Cancers|Metastatic Gastric Cancers|Metastatic Oesophageal Cancers|Metastatic Pancreatic Cancers|Metastatic Biliary Cancers|Metastatic Breast Cancers,DRUG: capecitabine|DRUG: aflibercept|DRUG: Capecitabine,"To determine the maximum tolerated dose and the recommended phase II dose of capecitabine in association with aflibercept, To assess the safety and tolerability of capecitabine given in combination with aflibercept in patients with measurable or evaluable, chemorefractory digestive tumors or breast tumors in terms of the Maximum Tolerated Dose (MTD), the Dose-Limiting Toxicities (DLTs), and to determine the Recommended Phase II Dose (RP2D) of capecitabine in combination with aflibercept., The time point of the first toxicity evaluation would be the end of the first cycle (3 weeks)",Jules Bordet Institute,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2013-09,2016-10,"Institut Jules Bordet, Brussels, 1000, Belgium"
NCT04812002,Study of PD-1 Antibody and Bevacizumab in the Treatment of High-risk GTN After Combined Chemotherapy,https://clinicaltrials.gov/study/NCT04812002,,"Gestational trophoblastic Neoplasia（GTN） is a kind of malignant tumor in women of childbearing age. It is easy to metastasized through the blood system in the early stage, so it is a relatively malignant tumor. The tumor is highly sensitive to chemotherapy, and low-risk patients have good prognosis, with survival rate and cure rate approaching 100%, but high-risk patients are prone to drug resistance, or relapse after remission. For relapsed, refractory, high-risk GTN, multiple remedies have been reported in the literature, but the remission rate is only 75-80%. For relapsed or refractory high-risk GTN, multiple remedies have been reported in the literature, but the remission rate is only 75-80%.

Currently, targeted therapy and immunotherapy are widely used in various refractory solid tumors. For GTN, there are also a number of related studies. In this study, PD-1 inhibitors combined with bevacizumab were used to treat refractory high-risk GTN with relapse or drug resistance after receiving previous second-line or above multidrug combination therapy, to study the efficacy and safety of the treatment regimen.",NO,Gestational Trophoblastic Neoplasia,DRUG: PD-1 inhibitor， bevacizumab,"PFS, PFS is defined as the time from randomization to the first occurrence of PD, as determined by the investigator using RECIST v1.1, or death from any cause during the study, whichever occurs first., From date of randomization until the date of first documented progression or death from any cause, whichever occurred first, or last follow-up for patients alive without progression, assessed up to approximately 24 months",Women's Hospital School Of Medicine Zhejiang University,,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2021-04-15,2024-04-15,"Women's Hospital School of Medicine Zhejiang University, Hangzhou, Zhejiang, 310000, China"
NCT05495360,Effect of Omega 3 Enriched Oral Nutritional Supplement on Nutritional Status of CRC and NSCLC Patients,https://clinicaltrials.gov/study/NCT05495360,OMENS,A single arm intervention study examining the effect of an omega 3 enriched oral nutritional supplement on nutritional status of CRC and NSCLC patients,NO,Malnutrition|Oncology,DIETARY_SUPPLEMENT: Oral Nutritional Supplement,"Change in EPA concentration in the phospholipid fraction of the erythrocyte membrane [% of total fatty acids], at end of first in-study treatment cycle compared to baseline",Nutricia Research,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2023-01-17,2024-09-02,"Universitair Ziekenhuis Brussel, Brussels, Belgium|AZ Delta, Roeselare, Belgium|Faculty Hospital Brno, Brno, Czechia|Fakultní nemocnice Bulovka, Praha, Czechia|Cork University Hospital, Cork, Ireland"
NCT04292769,Clinical Study of DC-CIK Cells as a Post-remission Treatment for Malignant Tumors,https://clinicaltrials.gov/study/NCT04292769,,"1. Screening stage
2. Evaluation of disease
3. Grouping of patients
4. Infusion of cells
5. Surveillance of adverse effect",NO,Malignant Neoplasm,DRUG: Decitabine|BIOLOGICAL: DC-CIK,"OS, overall survival rate, up to 2 years|PFS, progression free survival, up to 2 years",Li Yu,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2020-01-21,2023-01-20,"Shenzhen university general hospital, Shenzhen, 518000, China"
NCT00830921,Does Transcranial Magnetic Stimulation of the Cingulate Cortex Modulate the Perception of Dyspnoea?,https://clinicaltrials.gov/study/NCT00830921,TMS,"The treatment we are studying is Transcranial Magnetic Stimulation (TMS). In TMS, an electromagnetic pulse is passed into the brain through a coil placed on the head. Previous studies have shown TMS to be capable of altering brain activity in specific areas; for example it has been used to improve mood in clinical depression. In this study we will assess if, by targeting TMS to the brain area responsible for feeling breathless, participants' breathlessness will be improved",NO,Malignancy,DEVICE: Transcranial Magnetic Stimulation,,University of Oxford,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2008-02,,"Oxford Centre for Respiratory Medicine, Oxford, OX3 7LJ, United Kingdom"
NCT03085186,Treatment With Crizotinib Single Patient Expanded Access IND 134375,https://clinicaltrials.gov/study/NCT03085186,,"Two year old male with a new diagnosis of Inflammatory Myofibroblastic Tumour. The patient presented with 2 months of intermittent fever and 1-2 weeks of abdominal distention and constipation. An abdominal mass was palpable on exam and US concerning was for neoplasm of abdomen.

Treatment with Crizotinib will be utilized to reduce the size of the lesion and create more optimal tissue plains between vital structures prior to attempted surgical resection would greatly reduce potential morbidity for this patient.",NO,Inflammatory Myofibroblastic Tumour,DRUG: Crizotinib,,"Jean M. Tersak, M.D.",Pfizer,MALE,CHILD,EXPANDED_ACCESS,,,
NCT01840449,Somatuline Predictive Factors in Acromegaly and NET,https://clinicaltrials.gov/study/NCT01840449,SOPRANo,The aim of the study is to identify predictive factors for the response to Lanreotide treatment in Acromegaly as well as in Neuroendocrine Tumours.,NO,Acromegaly|Neuroendocrine Tumours,"DRUG: Somatuline Autogel® 60, 90 or 120 mg","Change in biochemical markers (Growth Hormone [GH] & Insulin-like Growth Factor 1 [IGF-1] in acromegaly subjects and Chromogranin A [CgA] in NET subjects), Baseline and 1 year",Ipsen,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2012-06,2016-07,"University Hospital of Vienna, Vienna, Austria|ENDOC, Hamburg, Germany|University Hospital Basel, Basel, Switzerland"
NCT02430311,The Pharmacokinetics and Safety of Olaparib Alone and With Paclitaxel in Chinese Patients With Advanced Solid Tumour.,https://clinicaltrials.gov/study/NCT02430311,,"This is a 2 parts phase I, open label trial of olaparib monotherapy and olaparib in combination with paclitaxel in patients with solid tumours. Part A will assess the single and multiple dose pharmacokinetics of olaparib monotherapy and multiple dose pharmacokinetics of olaparib in combination with paclitaxel. Part B will assess the safety of multiple doses of olaparib in Cohort 1 and of olaparib when co-administered with paclitaxel in Cohort 2",YES,Advanced Solid Tumours,DRUG: Olaparib|DRUG: Paclitaxel|DRUG: Olaparib,"Single Dose PK Parameter--Cmax, Single dose PK parameter summary for olaparib in monotherapy by dose - Cmax (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 (Day 2) and 48 h (Day 3)|Single Dose PK Parameter--AUC, Single dose PK parameter summary for olaparib in monotherapy by dose - AUC (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 (Day 2) and 48 h (Day 3)|Single Dose PK Parameter--tmax, Single dose PK parameter summary for olaparib in monotherapy by dose - tmax (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 (Day 2) and 48 h (Day 3)|Single Dose PK Parameter--t1/2, λz, Single dose PK parameter summary for olaparib in monotherapy by dose - t1/2, λz (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 (Day 2) and 48 h (Day 3)|Single Dose PK Parameter--Vz/F, Single dose PK parameter summary for olaparib in monotherapy by dose - Vz/F (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 (Day 2) and 48 h (Day 3)|Single Dose PK Parameter--CL/F, Single dose PK parameter summary for olaparib in monotherapy by dose - CL/F (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 (Day 2) and 48 h (Day 3)|Steady State PK Parameter--Cmax, ss and Cmin, ss at Day 8, Steady state pharmacokinetic parameter summary for olaparib by dose and visit after multiple doses - Cmax, ss and Cmin, ss (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8 and 12 h post morning dose of Day 8|Steady State PK Parameter--AUCss at Day 8, Steady state pharmacokinetic parameter summary for olaparib by dose and visit after multiple doses - AUC (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8 and 12 h post morning dose of Day 8|Steady State PK Parameter--tmax, ss at Day 8, Steady state pharmacokinetic parameter summary for olaparib by dose and visit after multiple doses - tmax, ss (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8 and 12 h post morning dose of Day 8|Steady State PK Parameter--RAC and TCP at Day 8, Steady state pharmacokinetic parameter summary for olaparib by dose and visit after multiple doses - RAC and TCP (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8 and 12 h post morning dose of Day 8|Steady State PK Parameter--Cmax, ss and Cmin, ss at Day 9, Steady state pharmacokinetic parameter summary for olaparib by dose and visit after multiple doses - Cmax, ss and Cmin, ss (PK analysis set), PK samples were collected pre-dose, 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8 and 12 h post morning dose of Day 9|Steady State PK Parameter--AUCss at Day 9, Steady state pharmacokinetic parameter summary for olaparib by dose and visit after multiple doses - AUC (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8 and 12 h post morning dose of Day 9|Steady State PK Parameter--tmax, ss at Day 9, Steady state pharmacokinetic parameter summary for olaparib by dose and visit after multiple doses - tmax, ss (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8 and 12 h post morning dose of Day 9|Steady State PK Parameter--CLss/F at Day 8, Steady state pharmacokinetic parameter summary for olaparib by dose and visit after multiple doses - CLss/F (PK analysis set), PK samples were collected pre-dose and at 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8 and 12 h post morning dose of Day 8",AstraZeneca,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2015-06-10,2016-07-27,"Research Site, Beijing, 100021, China|Research Site, Beijing, 100071, China|Research Site, Hangzhou, 310003, China"
NCT02253420,COPANLISIB (BAY80-6946) Drug-drug Interaction and Cardiovascular Safety Study in Advanced Solid Tumor and Non-Hodgkin's Lymphoma Patients,https://clinicaltrials.gov/study/NCT02253420,,"To evaluate the effect of itraconazole or rifampin on the absorption, distribution, metabolism and elimination of COPANLISIB (BAY80-6946).

To evaluate the effect of copanlisib on QT/QTc intervals and left ventricular ejection fraction as parameters of cardiovascular safety.",NO,Medical Oncology,DRUG: Copanlisib (BAY80-6946)|DRUG: Itraconazole|DRUG: Rifampin|DRUG: Copanlisib (BAY80-6946),"AUC (0-168), AUC (0-168): Area under the curve from dosing to 168 h after dosing, Within cycle 1, at pre-dose and at 10 min, 1, 1.33 (arm B)1.5 (arm A), 2, 2.5, 3, 5, 8, 24, 48, 72, 96, 120, and 168 hours after start of drug infusion on Days 1 and 15.|AUC, AUC: Area under the curve, Within cycle 1, at pre-dose and at 10 min, 1, 1.33 (arm B)1.5 (arm A), 2, 2.5, 3, 5, 8, 24, 48, 72, 96, 120, and 168 hours after start of drug infusion on Days 1 and 15.|Cmax, Cmax: Maximum concentration attained after dosing, Within cycle 1, at pre-dose and at 10 min, 1, 1.33 (arm B)1.5 (arm A), 2, 2.5, 3, 5, 8, 24, 48, 72, 96, 120, and 168 hours after start of drug infusion on Days 1 and 15.|QTcF, QTcF: Time-matched largest change of QT interval (Frederica's correction), Holter Monitoring performed on Cycle 1 Day -1 (baseline) and Cycle 1 Day 1 (each cycle is 28 days)",Bayer,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2014-10-08,2018-03-12,"Dallas, Texas, 75230, United States|Edmonton, Alberta, T6G 1Z2, Canada|Vancouver, British Columbia, V5Z 4E6, Canada|Hamilton, Ontario, L8V 5C2, Canada|Toronto, Ontario, M5G 2M9, Canada"
NCT04406844,Issues and Challenges in Cancer Patients on Active Treatment During the COVID-19 Pandemic,https://clinicaltrials.gov/study/NCT04406844,,"In view of increasing cases of SARS-CoV-2 leading to the COVID-19 Pandemic in India,there has been unprecedented restrictions on travel, work and other aspects of daily life. Our study has been designed to collect data of cancer patients to analyze their issues and challenges during Covid-19 Pandemic.",NO,Oncology Patients,,"Oncology patients, To focus on basic issues encountered by oncology patients such as transportation, medical facility, healthcare support, disease apprehension etc, 4-8 weeks",Max Healthcare Insititute Limited,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2020-05-09,2021-06-30,"Max Superspeciality hospital, A Unit of Balaji Medical and Diagnostic Centre, New Delhi, 110092, India"
NCT02341456,Phase Ib Study AZD1775 in Combination With Carboplatin and Paclitaxel in Adult Asian Patients With Solid Tumours,https://clinicaltrials.gov/study/NCT02341456,,"This is a phase Ib, open-label, multicentre study of AZD1775 administered orally in monotherapy and in combination with carboplatin and paclitaxel to Asian patients with advanced solid tumours.",YES,Advanced Solid Tumours,DRUG: AZD1775|DRUG: Paclitaxel|DRUG: carboplatin,"Number of Patients With Treatment-Emergent Adverse Events, The number of patients with treatment-emergent adverse events was analyzed on the safety analysis set which was comprised of all patients who received at least one dose of the investigational drug., Up to 21 days (1 Cycle)|Number of Treatment-Emergent Adverse Events (TEAE), The number of treatment-emergent adverse events was counted in the safety analysis set which was comprised of all patients who received at least one dose of the investigational drug., Up to 21 days (1 Cycle)|Number of Patients With Treatment-Emergent Adverse Events During AZD1775 Monotherapy Cycle by System Organ Class and Preferred Term, The number of patients with TEAEs during AZD1775 Monotherapy Cycle was analyzed in the safety analysis set which was comprised of all patients who received at least one dose of the investigational drug., Up to 1 week|Number of Patients With Clinically Important Changes in Haematology and Coagulation TEAEs by System Organ Class and Preferred Term, The number of patients with clinically important changes in haematology and coagulation TEAEs was analyzed in the safety analysis set which was comprised of all patients who received at least one dose of the investigational drug., Up to 21 days (1 Cycle)|Number of Patients With Clinically Important Abnormalities in Clinical Chemistry by Preferred Term, The number of patients with clinically important changes in clinical chemistry TEAEs was analyzed in the safety analysis set which was comprised of all patients who received at least one dose of the investigational drug., Up to 21 days (1 Cycle)|Number of Patients With Clinically Important Abnormalities in Vital Signs by Preferred Term, The number of patients with clinically important changes in vital sign TEAEs was analyzed in the safety analysis set which was comprised of all patients who received at least one dose of the investigational drug., Up to 21 days (1 Cycle)",AstraZeneca,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2015-01-16,2016-12-14,"Research Site, Liverpool, 2170, Australia|Research Site, Melbourne, 3004, Australia|Research Site, Kashiwa, 277-8577, Japan|Research Site, Sapporo-shi, 003-0804, Japan|Research Site, Seoul, 03080, Korea, Republic of|Research Site, Seoul, 05505, Korea, Republic of|Research Site, Seoul, 135-710, Korea, Republic of"
NCT02824042,Thorough ECG (Electrocardiogram) and Drug Interaction Study With Anetumab Ravtansine and Itraconazole,https://clinicaltrials.gov/study/NCT02824042,,"Characterize the safety, tolerability, ECG effects, pharmacokinetics and immunogenicity of anetumab ravtansine given as single agent and after inhibition of CYP3A4 and P-gp by concomitant administration of itraconazole in subjects with mesothelin-expressing advanced solid cancers",NO,Medical Oncology,DRUG: Anetumab ravtansine (BAY94-9343)|DRUG: Itraconazole,"PR interval duration, ECG evaluation, Up to 2 months per patient|QRS interval duration, ECG evaluation, Up to 2 months per patient|QT interval duration, ECG evaluation, Up to 2 months per patient|Abnormal T/U waves, ECG evaluation, Up to 2 months per patient|Heart rate, ECG evaluation, Up to 2 months per patient|Cycle 1+2 AUC (area under the plasma concentration vs. time curve from zero to infinity after single (first) dose) of BAY94-9343 analytes, At pre-dose, 0.5h, 1h, 1.5h, 2h, 3h, 5h, 8h, 10h, 24h, 48h, 168h, 336h, 480h and 504h after each dose during first 42 days of the study|Cycle 1+2 AUC(0-tlast) (AUC from time zero to the last data point > LLOQ [lower limit of quantification]) of BAY94-9343 analytes, At pre-dose, 0.5h, 1h, 1.5h, 2h, 3h, 5h, 8h, 10h, 24h, 48h, 168h, 336h, 480h and 504h after each dose during first 42 days of the study|Cycle 1+2 Cmax (maximum drug concentration in plasma after the first dose administration) of BAY94-9343 analytes, At pre-dose, 0.5h, 1h, 1.5h, 2h, 3h, 5h, 8h, 10h, 24h, 48h, 168h, 336h, 480h and 504h after each dose during first 42 days of the study|QTcF (QT interval, corrected for heart rate according to Fridericia's formula) interval duration, ECG evaluation, Up to 2 months per patient|QTcP (QT interval, corrected for heart rate using a population-specific correction) interval duration, ECG evaluation, Up to 2 months per patient",Bayer,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2016-09-07,2018-06-27,"UCLA-Santa Monica Medical Center, Santa Monica, California, 90404, United States|Henry Ford Health System, Detroit, Michigan, 48202, United States|Washington University School of Medicine, Saint Louis, Missouri, 63110, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, 44106-2602, United States|Mary Crowley Medical Research Center, Dallas, Texas, 75230, United States|Blacktown Cancer & Haematology Centre, Blacktown, New South Wales, 2148, Australia|Epworth HealthCare, Richmond, Victoria, 3122, Australia|CU Saint-Luc/UZ St-Luc, Bruxelles - Brussel, 1200, Belgium|UZ Gent, Gent, 9000, Belgium|Hôpital Henri Mondor, Creteil, 94010, France|Centre Georges Francois Leclerc Dijon, Dijon, 21079, France|Hôpital de la Timone - Marseille, Marseille, 13005, France|Nederlands Kanker Instituut, Amsterdam, 1066 CX, Netherlands|VUmc, Amsterdam, 1081 HV, Netherlands|Universitair Medisch Centrum St. Radboud, Nijmegen, 6525 GA, Netherlands|Ciutat Sanitària i Universitaria de la Vall d'Hebron, Barcelona, 08035, Spain|Fundacion Jimenez Diaz (Clinica de la Concepcion), Madrid, 28040, Spain|Hospital Virgen de la Victoria, Málaga, 29010, Spain"
NCT02138812,Phase I Dose Escalation of Oral BAY1161909 in Combination With Intravenous Paclitaxel,https://clinicaltrials.gov/study/NCT02138812,,"Determine the safety, tolerability, maximum tolerated dose (MTD), and recommended Phase II dose (RP2D) of BAY1161909 in combination with paclitaxel in subjects with advanced malignancies.",NO,Medical Oncology,DRUG: BAY1161909|DRUG: Paclitaxel,"Maximum tolerated dose (MTD), MTD is defined as the highest dose of oral BAY1161909 (administered in combination with or without IV paclitaxel) that can be given such that not more than 30% of the subjects experience a dose-limiting toxicity (DLT) during Cycles 1 and 2. The safety profile of oral BAY1161909 will first be determined in combination with 75 mg/m\^2 IV paclitaxel \[MTD (75)\]. Starting in \>Cohort 7 (12 mg 2 times daily \[BID\] BAY1161909) the MTD of oral BAY1161909 will then be refined for the combination with 90 mg/m\^2 IV paclitaxel \[MTD (90)\]., Up to 2 years|Number of subjects with adverse events and serious adverse events as a measure of safety and tolerability., Up to 2 years|Plasma concentration of Paclitaxel characterized by Cmax, C2D1 (without oral BAY1161909): pre-dose and 0.5,1,2,3,4,6,8,12,24 (C2D2) & 48hrs (C2D3) after the start of IV infusion on C2D1. C2D8 (with oral BAY1161909): pre-dose and 0.5,1,2,3,4,6, 8,12,24 (C2D9) & 48hrs (C2D10) after the start of infusion on C2D8.|Plasma concentration of BAY1161909 characterized by Cmax, C1D1 (single-dose PK without IV paclitaxel), C1D2 (multiple-dose PK without IV paclitaxel; no ED on C1D2, MD=Morning Dose, ED= Evening Dose, C1D1: pre-dose & 0.5,1,2,3,4,6,8,12 hrs after the MD on C1D1 [12-hour sample to be collected before administration of the ED]. C1D2: pre-dose & 0.5,1,2,3,4,6,8,12, 24 (C1D3), 48 (C1D4), 72 (C1D5) & 144 hrs (C1D8 pre-dose) after the MD on C1D2.|Plasma concentration of BAY1161909 characterized by Cmax, C2D8 (single-dose PK with IV paclitaxel): pre-dose and 0.5, 1, 2, 3, 4, 6, 8, 12 hours after the morning dose on C2D8 [12-hour sample to be collected before administration of the evening dose].|Plasma concentration of BAY1161909 characterized by Cmax, C1D1 (single-dose PK cohort only): pre-dose and 0.5, 1, 2, 3, 4, 6, 8, 12, 24 (C1D2), 48 (C1D3), 72 (C1D4), 96 (C1D5), 168 (C1D8), 240 (C1D11) and 336 hours (before C2D1 IV paclitaxel administration) after the morning dose on C1D1.|Plasma concentration of BAY1161909 characterized by Cmax, C1D-7 (relative bioavailability assessment subjects): pre-dose and 0.5, 1, 2, 3, 4, 6, 8, 12, 24 (C1D-6), and 72 (C1D-4) hours after the single dose on C1D-7.",Bayer,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2014-05-09,2017-04-28,"Santa Monica, California, 90403, United States|New Haven, Connecticut, 06510, United States|Boston, Massachusetts, 02215, United States|Detroit, Michigan, 48201, United States|Nashville, Tennessee, 37203, United States|San Antonio, Texas, 78229, United States"
NCT00220168,Phase II Trial Evaluating Irinotecan and Capecitabine Relapsed/Refractory Upper GI Tumours,https://clinicaltrials.gov/study/NCT00220168,,"The objective of this study is to assess the efficacy and toxicity of a 3 weekly regimen containing irinotecan combined with capecitabine in the setting of relapsed or refractory upper gastrointestinal tumours. Patients with locally advanced or metastatic adenocarcinoma or squamous cell carcinoma originating from the oesophagus, oesophagogastric junction or stomach who have previously received chemotherapy and have either failed to respond or who have relapsed within 3 months after an initial response will be eligible for treatment in this study.

The response rate, failure-free survival and overall survival of treated patients will be evaluated. Toxicity and quality of life will also be monitored closely.",NO,Upper Gastrointestinal Tumours,"DRUG: Irinotecan, Capecitabine",Response rates|Time to disease progression (TTP),Royal Marsden NHS Foundation Trust,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2003-01,,"Royal Marsden Hospital, Sutton, Surrey, SM2 5PT, United Kingdom"
NCT02282449,"Power Injectable Versus a Non-Power Injectable, Upper Arm, TIVAD for Chemotherapy",https://clinicaltrials.gov/study/NCT02282449,,"Patients with cancer often require intravenous chemotherapy for long periods of time.

Ensuring that these patients have safe and reliable access to the veins for chemotherapy is challenging, and sometimes a medical device is required to administer the chemotherapy into the veins.

A totally implanted venous access device, or port, is implanted under the skin of the arm and is attached to a small plastic catheter that enters into the veins. This device can be punctured with a needle when needed for treatment or testing.

Some types of these vein ports can rapidly inject fluids (power injection), and can be used for follow-up imaging studies, such as computed tomography, that are required to follow cancer treatment effectiveness. There are no publications of randomized patients discussing the impact of power injection upon TIVAD complications and device longevity for arm implantation. The investigators propose to compare the effectiveness of power injectable against non-power injectable ports to determine if they have different clinical performance and complications. Our results will impact the care provided to cancer patients.",NO,Malignancy,DEVICE: Power Injectable Port (AngioDynamics Smart Port CT Mini)|DEVICE: Non-Power Injectable Port (Cook Vital Mini Port),"Device Failure (Failure secondary to occlusion, leakage, catheter fracture, wound dehiscence), Failure secondary to occlusion, leakage, catheter fracture, wound dehiscence, 2 years after insertion",University of Saskatchewan,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2013-09,2016-07,"Medical Imaging, Royal University Hospital, 103 Hospital Drive, Saskatoon, Saskatchewan, S7N 0W8, Canada"
NCT02368951,"Phase I, Dose-escalation Trial of BAY1187982 in Subjects With Advanced Solid Tumors Known to Express Fibroblast Growth Factor Receptor 2 (FGFR2)",https://clinicaltrials.gov/study/NCT02368951,,"To evaluate the safety, tolerability, maximum tolerated dose, pharmacokinetics, and pharmacodynamics of the anti-FGFR2 antibody drug conjugate BAY1187982 in subjects with advanced solid tumors known to express fibroblast growth factor receptor 2 (FGFR2)",NO,Medical Oncology,DRUG: BAY1187982,"Maximum tolerated dose(MTD), The MTD is defined as the maximum dose at which the incidence of DLTs during Cycle 1 is below 20%, or the maximum dose administered, whichever is achieved first during dose escalation, Up to 2 years|Number of subjects with adverse events as a measure of safety and tolerability, Up to 2 years|Number of subjects with serious adverse events as a measure of safety and tolerability, Up to 2 years",Bayer,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2015-03-24,2016-07-27,"San Francisco, California, 94115, United States|Santa Monica, California, 90404-1200, United States|New Haven, Connecticut, 06520, United States|Chicago, Illinois, 60611, United States|Baltimore, Maryland, 21231, United States|Saint Louis, Missouri, 63110, United States|New York, New York, 10016, United States|Nashville, Tennessee, 37232, United States|Houston, Texas, 77030, United States|Seattle, Washington, 98109-1023, United States|Seoul, 03080, Korea, Republic of|Seoul, 138-736, Korea, Republic of|Singapore, 169610, Singapore"
NCT02822716,Irreversible Electroporation for Inoperable Hepatic and Pancreatic Malignancy,https://clinicaltrials.gov/study/NCT02822716,IRE,The objectives of this study are to study the safety and effect of IRE as a treatment for inoperable hepatic and pancreatic malignancy.,NO,Hepatic Malignant Tumors|Pancreatic Cancer,PROCEDURE: IRE treatment|DEVICE: Ultrasound,"Radiological assessment, CT scan will be performed. Tumor response will be assessed using RECIST criteria., 1 month",Chinese University of Hong Kong,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2013-07-22,2020-09-23,"Department of Imaging and Interventional Radiology, Prince of Wales Hospital, The Chinese University of Hong Kong, Hong Kong, Hong Kong"
